filename,iou,dice
tile_00_00_mask.png,1.0,1.0
tile_00_01_mask.png,1.0,1.0
tile_00_02_mask.png,1.0,1.0
tile_00_03_mask.png,1.0,1.0
tile_00_04_mask.png,1.0,1.0
tile_00_05_mask.png,0.0,0.0
tile_00_06_mask.png,1.0,1.0
tile_00_07_mask.png,1.0,1.0
tile_00_08_mask.png,1.0,1.0
tile_00_09_mask.png,1.0,1.0
tile_00_10_mask.png,1.0,1.0
tile_00_11_mask.png,1.0,1.0
tile_00_12_mask.png,1.0,1.0
tile_00_13_mask.png,1.0,1.0
tile_00_14_mask.png,1.0,1.0
tile_00_15_mask.png,1.0,1.0
tile_00_16_mask.png,1.0,1.0
tile_00_17_mask.png,1.0,1.0
tile_00_18_mask.png,1.0,1.0
tile_00_19_mask.png,1.0,1.0
tile_00_20_mask.png,1.0,1.0
tile_00_21_mask.png,1.0,1.0
tile_00_22_mask.png,1.0,1.0
tile_00_23_mask.png,1.0,1.0
tile_01_00_mask.png,1.0,1.0
tile_01_01_mask.png,1.0,1.0
tile_01_02_mask.png,1.0,1.0
tile_01_03_mask.png,0.0,0.0
tile_01_04_mask.png,0.0,0.0
tile_01_05_mask.png,1.0,1.0
tile_01_06_mask.png,1.0,1.0
tile_01_07_mask.png,1.0,1.0
tile_01_08_mask.png,1.0,1.0
tile_01_09_mask.png,1.0,1.0
tile_01_10_mask.png,1.0,1.0
tile_01_11_mask.png,1.0,1.0
tile_01_12_mask.png,1.0,1.0
tile_01_13_mask.png,1.0,1.0
tile_01_14_mask.png,1.0,1.0
tile_01_15_mask.png,1.0,1.0
tile_01_16_mask.png,1.0,1.0
tile_01_17_mask.png,1.0,1.0
tile_01_18_mask.png,1.0,1.0
tile_01_19_mask.png,1.0,1.0
tile_01_20_mask.png,1.0,1.0
tile_01_21_mask.png,1.0,1.0
tile_01_22_mask.png,1.0,1.0
tile_01_23_mask.png,1.0,1.0
tile_02_00_mask.png,1.0,1.0
tile_02_01_mask.png,1.0,1.0
tile_02_02_mask.png,1.0,1.0
tile_02_03_mask.png,1.0,1.0
tile_02_04_mask.png,0.8023032629558541,0.8903088391906283
tile_02_05_mask.png,0.7866045077729947,0.8805580690642032
tile_02_06_mask.png,0.9031600717783388,0.9491162463643047
tile_02_07_mask.png,0.837168584292146,0.9113682777399592
tile_02_08_mask.png,1.0,1.0
tile_02_09_mask.png,1.0,1.0
tile_02_10_mask.png,1.0,1.0
tile_02_11_mask.png,1.0,1.0
tile_02_12_mask.png,1.0,1.0
tile_02_13_mask.png,1.0,1.0
tile_02_14_mask.png,1.0,1.0
tile_02_15_mask.png,1.0,1.0
tile_02_16_mask.png,1.0,1.0
tile_02_17_mask.png,1.0,1.0
tile_02_18_mask.png,1.0,1.0
tile_02_19_mask.png,1.0,1.0
tile_02_20_mask.png,1.0,1.0
tile_02_21_mask.png,1.0,1.0
tile_02_22_mask.png,1.0,1.0
tile_02_23_mask.png,1.0,1.0
tile_03_00_mask.png,0.0,0.0
tile_03_01_mask.png,1.0,1.0
tile_03_02_mask.png,1.0,1.0
tile_03_03_mask.png,1.0,1.0
tile_03_04_mask.png,0.7803409762623277,0.876619688775109
tile_03_05_mask.png,0.031695412157315285,0.06144335195024071
tile_03_06_mask.png,0.4883220702847644,0.6562048363514928
tile_03_07_mask.png,0.3064779977097988,0.4691667188380392
tile_03_08_mask.png,1.0,1.0
tile_03_09_mask.png,1.0,1.0
tile_03_10_mask.png,1.0,1.0
tile_03_11_mask.png,1.0,1.0
tile_03_12_mask.png,1.0,1.0
tile_03_13_mask.png,1.0,1.0
tile_03_14_mask.png,1.0,1.0
tile_03_15_mask.png,1.0,1.0
tile_03_16_mask.png,1.0,1.0
tile_03_17_mask.png,1.0,1.0
tile_03_18_mask.png,0.9143490364604449,0.9552584393398185
tile_03_19_mask.png,0.9791666666666666,0.9894736842105263
tile_03_20_mask.png,1.0,1.0
tile_03_21_mask.png,1.0,1.0
tile_03_22_mask.png,1.0,1.0
tile_03_23_mask.png,1.0,1.0
tile_04_00_mask.png,1.0,1.0
tile_04_01_mask.png,1.0,1.0
tile_04_02_mask.png,1.0,1.0
tile_04_03_mask.png,1.0,1.0
tile_04_04_mask.png,0.9443136727419463,0.9713593912141127
tile_04_05_mask.png,0.963235001128983,0.9812732562072931
tile_04_06_mask.png,0.7262670224396701,0.8414306859818981
tile_04_07_mask.png,0.7876338341933578,0.8812026480230113
tile_04_08_mask.png,0.8018691588785046,0.8900414937759336
tile_04_09_mask.png,1.0,1.0
tile_04_10_mask.png,1.0,1.0
tile_04_11_mask.png,1.0,1.0
tile_04_12_mask.png,1.0,1.0
tile_04_13_mask.png,1.0,1.0
tile_04_14_mask.png,1.0,1.0
